datetime,username,tweet,tweet_cleaned,tweet_tokens,normalization
2022-04-18 05:00:00+00:00,totosawi,"""Rancangan undang-undang ini juga memuat tentang victim trust fund atau dana bantuan korban. Ini adalah sebuah langkah yang maju bagaimana kita hadir dalam memberikan perlindungan bagi warga negara Indonesia,"" #PerempuanBisa
Puan Pahlawan UUTPKS", rancangan undang undang ini juga memuat tentang victim trust fund atau dana bantuan korban  ini adalah sebuah langkah yang maju bagaimana kita hadir dalam memberikan perlindungan bagi warga negara indonesia    puan pahlawan uutpks,"['rancangan', 'undang', 'undang', 'ini', 'juga', 'memuat', 'tentang', 'victim', 'trust', 'fund', 'atau', 'dana', 'bantuan', 'korban', 'ini', 'adalah', 'sebuah', 'langkah', 'yang', 'maju', 'bagaimana', 'kita', 'hadir', 'dalam', 'memberikan', 'perlindungan', 'bagi', 'warga', 'negara', 'indonesia', 'puan', 'pahlawan', 'uutpks']","['rancangan', 'undang', 'undang', 'ini', 'juga', 'memuat', 'tentang', 'victim', 'trust', 'fund', 'atau', 'dana', 'bantuan', 'korban', 'ini', 'adalah', 'sebuah', 'langkah', 'yang', 'maju', 'bagaimana', 'kita', 'hadir', 'dalam', 'memberikan', 'perlindungan', 'bagi', 'warga', 'negara', 'indonesia', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,gunturfaitsal,"Forpida mengapresiasi sikap Puan Maharani yang tidak berubah sikap untuk memperjuangkan perlindungan bagi perempuan. Hal ini terlihat dari perjuangan Puan Maharani dalam mendukung di sahkannya UU TPKS #PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/vxhNfVUL7h",forpida mengapresiasi sikap puan maharani yang tidak berubah sikap untuk memperjuangkan perlindungan bagi perempuan  hal ini terlihat dari perjuangan puan maharani dalam mendukung di sahkannya uu tpks  puan pahlawan uutpks ,"['forpida', 'mengapresiasi', 'sikap', 'puan', 'maharani', 'yang', 'tidak', 'berubah', 'sikap', 'untuk', 'memperjuangkan', 'perlindungan', 'bagi', 'perempuan', 'hal', 'ini', 'terlihat', 'dari', 'perjuangan', 'puan', 'maharani', 'dalam', 'mendukung', 'di', 'sahkannya', 'uu', 'tpks', 'puan', 'pahlawan', 'uutpks']","['forpida', 'mengapresiasi', 'sikap-sikap', 'puan', 'maharani', 'yang', 'tidak', 'berubah', 'sikap-sikap', 'untuk', 'memperjuangkan', 'perlindungan', 'bagi', 'perempuan', 'hal', 'ini', 'terlihat', 'dari', 'perjuangan', 'puan', 'maharani', 'dalam', 'mendukung', 'di', 'sahkannya', 'uu', 'tpks', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,freya_kaya,"Undang-Undang Tindak Pidana Kekerasan Seksual adalah hasil kerja sama bersama, sekaligus komitmen bersama kita agar tidak ada ruang bagi kekerasan seksual
#PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/v1eIgx5HsM",undang undang tindak pidana kekerasan seksual adalah hasil kerja sama bersama  sekaligus komitmen bersama kita agar tidak ada ruang bagi kekerasan seksual  puan pahlawan uutpks ,"['undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'adalah', 'hasil', 'kerja', 'sama', 'bersama', 'sekaligus', 'komitmen', 'bersama', 'kita', 'agar', 'tidak', 'ada', 'ruang', 'bagi', 'kekerasan', 'seksual', 'puan', 'pahlawan', 'uutpks']","['undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'adalah', 'hasil', 'kerja', 'sama-sama', 'bersama', 'sekaligus', 'komitmen', 'bersama', 'kita', 'agar', 'tidak', 'ada', 'ruang', 'bagi', 'kekerasan', 'seksual', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,ye_miyem,"KBPP Polri apresiasi kepemimpinan Puan Maharani atas pengesahan UU TPKS #PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/vSseBxJSFq",kbpp polri apresiasi kepemimpinan puan maharani atas pengesahan uu tpks  puan pahlawan uutpks ,"['kbpp', 'polri', 'apresiasi', 'kepemimpinan', 'puan', 'maharani', 'atas', 'pengesahan', 'uu', 'tpks', 'puan', 'pahlawan', 'uutpks']","['kbpp', 'polri', 'apresiasi', 'kepemimpinan', 'puan', 'maharani', 'atas', 'pengesahan', 'uu', 'tpks', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,rais_rejab,"Terimakasih ibu puan, karena kinerja beliau UU TPKS telah disahkan #PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/uiXkqEdis1",terimakasih ibu puan  karena kinerja beliau uu tpks telah disahkan  puan pahlawan uutpks ,"['terimakasih', 'ibu', 'puan', 'karena', 'kinerja', 'beliau', 'uu', 'tpks', 'telah', 'disahkan', 'puan', 'pahlawan', 'uutpks']","['terimakasih', 'ibu', 'puan', 'karena', 'kinerja', 'beliau', 'uu', 'tpks', 'telah', 'disahkan', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,Citraa0820,Terus lah untuk membantu masyarakat agar semua lebih baik lagi #PerempuanBisa Puan Pahlawan UUTPKS https://t.co/jBDqzyHfOW,terus lah untuk membantu masyarakat agar semua lebih baik lagi  puan pahlawan uutpks ,"['terus', 'lah', 'untuk', 'membantu', 'masyarakat', 'agar', 'semua', 'lebih', 'baik', 'lagi', 'puan', 'pahlawan', 'uutpks']","['terus', 'lah', 'untuk', 'membantu', 'masyarakat', 'agar', 'semua', 'lebih', 'baik', 'lagi', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,GeraldinaKansa,"Pastikan saya beli masyarakat dengan penyaluran bansos
#PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/LzKAjxZ4su",pastikan saya beli masyarakat dengan penyaluran bansos  puan pahlawan uutpks ,"['pastikan', 'saya', 'beli', 'masyarakat', 'dengan', 'penyaluran', 'bansos', 'puan', 'pahlawan', 'uutpks']","['pastikan', 'saya', 'beli', 'masyarakat', 'dengan', 'penyaluran', 'bansos', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,rxinsoo,"sebagai Ketua DPR sudah seharusnya segera mensahkan TPKS karena beliau memang sudah konsen terkait hal ini sejak masih menjadi Menko PMK,"" kata Nury dalam siaran pers, di Jakarta, Selasa.
#PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/gZyls2mCOV",sebagai ketua dpr sudah seharusnya segera mensahkan tpks karena beliau memang sudah konsen terkait hal ini sejak masih menjadi menko pmk   kata nury dalam siaran pers  di jakarta  selasa   puan pahlawan uutpks ,"['sebagai', 'ketua', 'dpr', 'sudah', 'seharusnya', 'segera', 'mensahkan', 'tpks', 'karena', 'beliau', 'memang', 'sudah', 'konsen', 'terkait', 'hal', 'ini', 'sejak', 'masih', 'menjadi', 'menko', 'pmk', 'kata', 'nury', 'dalam', 'siaran', 'pers', 'di', 'jakarta', 'selasa', 'puan', 'pahlawan', 'uutpks']","['sebagai', 'ketua', 'dpr', 'sudah', 'seharusnya', 'segera', 'mensahkan', 'tpks', 'karena', 'beliau', 'memang', 'sudah', 'konsen', 'terkait', 'hal', 'ini', 'sejak', 'masih', 'menjadi', 'menko', 'pmk', 'kata-kata', 'nury', 'dalam', 'siaran', 'pers', 'di', 'jakarta', 'selasa', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,Dimas28404553,"Ketua DPR RI Puan Maharani menutup masa sidang dengan rampungkan UU TPKS #PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/GS4tkdryYu",ketua dpr ri puan maharani menutup masa sidang dengan rampungkan uu tpks  puan pahlawan uutpks ,"['ketua', 'dpr', 'ri', 'puan', 'maharani', 'menutup', 'masa', 'sidang', 'dengan', 'rampungkan', 'uu', 'tpks', 'puan', 'pahlawan', 'uutpks']","['ketua', 'dpr', 'ri', 'puan', 'maharani', 'menutup', 'masa', 'sidang', 'dengan', 'rampungkan', 'uu', 'tpks', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,Gugu11037595,"Pengesahan RUU TPKS ini membawa kesenangan bagi banyak pihak.
#PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/ryLGOE6RyM",pengesahan ruu tpks ini membawa kesenangan bagi banyak pihak   puan pahlawan uutpks ,"['pengesahan', 'ruu', 'tpks', 'ini', 'membawa', 'kesenangan', 'bagi', 'banyak', 'pihak', 'puan', 'pahlawan', 'uutpks']","['pengesahan', 'ruu', 'tpks', 'ini', 'membawa', 'kesenangan', 'bagi', 'banyak', 'pihak', 'puan', 'pahlawan', 'uutpks']"
